site_id,date,flow_cfs,qualifiers
06447500,1990-01-12,13.0,A:e
06447500,1990-01-13,13.0,A:e
06447500,1990-01-14,14.0,A:e
06447500,1990-01-15,14.0,A:e
06447500,1990-01-16,16.0,A:e
06447500,1990-01-17,15.0,A:e
06447500,1990-01-18,15.0,A:e
06447500,1990-01-19,14.0,A:e
06447500,1990-01-20,13.0,A:e
06447500,1990-01-21,14.0,A:e
06447500,1990-01-22,14.0,A:e
06447500,1990-01-23,15.0,A:e
06447500,1990-01-24,15.0,A:e
06447500,1990-01-25,14.0,A:e
06447500,1990-01-26,15.0,A:e
06447500,1990-01-27,14.0,A:e
06447500,1990-01-28,14.0,A:e
06447500,1990-01-29,13.0,A:e
06447500,1990-01-30,13.0,A:e
06447500,1990-01-31,10.0,A:e
06447500,1990-02-01,9.5,A:e
06447500,1990-02-02,9.5,A:e
06447500,1990-02-03,10.0,A:e
06447500,1990-02-04,12.0,A:e
06447500,1990-02-05,13.0,A:e
06447500,1990-02-06,13.0,A:e
06447500,1990-02-07,13.0,A:e
06447500,1990-02-08,13.0,A:e
06447500,1990-02-09,12.0,A:e
06447500,1990-02-10,13.0,A:e
06447500,1990-02-11,14.0,A:e
06447500,1990-02-12,14.0,A:e
06447500,1990-02-13,14.0,A:e
06447500,1990-02-14,11.0,A:e
06447500,1990-02-15,8.5,A:e
06447500,1990-02-16,9.0,A:e
06447500,1990-02-17,8.5,A:e
06447500,1990-02-18,9.7,A:e
06447500,1990-02-19,11.0,A:e
06447500,1990-02-20,12.0,A:e
06447500,1990-02-21,16.0,A:e
06447500,1990-02-22,17.0,A:e
06447500,1990-02-23,18.0,A:e
06447500,1990-02-24,19.0,A:e
06447500,1990-02-25,18.0,A:e
06447500,1990-02-26,22.0,A:e
06447500,1990-02-27,24.0,A:e
06447500,1990-02-28,24.0,A:e
06447500,1990-03-01,24.0,A:e
06447500,1990-03-02,24.0,A:e
06447500,1990-03-03,25.0,A:e
06447500,1990-03-04,23.0,A:e
06447500,1990-03-05,22.0,A:e
06447500,1990-03-06,23.0,A:e
06447500,1990-03-07,26.0,A:e
06447500,1990-03-08,20.0,A
06447500,1990-03-09,19.0,A
06447500,1990-03-10,22.0,A
06447500,1990-03-11,23.0,A
06447500,1990-03-12,26.0,A
06447500,1990-03-13,26.0,A
06447500,1990-03-14,27.0,A
06447500,1990-03-15,26.0,A
06447500,1990-03-16,24.0,A
06447500,1990-03-17,23.0,A
06447500,1990-03-18,24.0,A
06447500,1990-03-19,26.0,A
06447500,1990-03-20,25.0,A
06447500,1990-03-21,23.0,A
06447500,1990-03-22,21.0,A
06447500,1990-03-23,20.0,A
06447500,1990-03-24,19.0,A
06447500,1990-03-25,18.0,A
06447500,1990-03-26,18.0,A
06447500,1990-03-27,19.0,A
06447500,1990-03-28,19.0,A
06447500,1990-03-29,19.0,A
06447500,1990-03-30,18.0,A
06447500,1990-03-31,18.0,A
06447500,1990-04-01,19.0,A
06447500,1990-04-02,19.0,A
06447500,1990-04-03,19.0,A
06447500,1990-04-04,19.0,A
06447500,1990-04-05,18.0,A
06447500,1990-04-06,18.0,A
06447500,1990-04-07,18.0,A
06447500,1990-04-08,17.0,A
06447500,1990-04-09,17.0,A
06447500,1990-04-10,16.0,A
06447500,1990-04-11,16.0,A
06447500,1990-04-12,16.0,A
06447500,1990-04-13,17.0,A
06447500,1990-04-14,17.0,A
06447500,1990-04-15,17.0,A
06447500,1990-04-16,17.0,A
06447500,1990-04-17,16.0,A
06447500,1990-04-18,16.0,A
06447500,1990-04-19,16.0,A
06447500,1990-04-20,16.0,A
06447500,1990-04-21,16.0,A
06447500,1990-04-22,16.0,A
06447500,1990-04-23,16.0,A
06447500,1990-04-24,15.0,A
06447500,1990-04-25,15.0,A
06447500,1990-04-26,16.0,A
06447500,1990-04-27,22.0,A
06447500,1990-04-28,29.0,A
06447500,1990-04-29,30.0,A
